x,y,y1
1.0,-6.0,-6.662109528557361
1.3,-5.475271471065017,-3.9999742974057764
1.6,-5.059992741508529,-6.743374161868456
1.9000000000000001,-4.71629222765521,-3.3034617244617195
2.2,-4.42308527927146,-5.802857818539163
2.5,-4.16741853625169,-2.519437907514412
2.8000000000000003,-3.9407611656376833,-2.20296580430387
3.1000000000000005,-3.7371957770177984,-3.5085801953640505
3.4000000000000004,-3.5524491367557682,-3.2068554210736337
3.7,-3.383334360699642,-4.034564077228845
4.0,-3.227411277760219,-1.95956100328877
4.300000000000001,-3.082769954600966,-1.4989935681711382
4.6000000000000005,-2.947887393009901,-4.744427272991263
4.9,-2.821529589766838,-1.596657594832997
5.200000000000001,-2.7026827488252363,-3.213429271307285
5.500000000000001,-2.590503815523149,-0.9145075529613771
5.800000000000001,-2.4842841648952523,-1.541728430151882
6.1000000000000005,-2.3834224576414687,-1.0351102257120486
6.4,-2.2874040192687475,-1.1694138769983589
6.700000000000001,-2.195784947206159,-0.9660103461120007
7.000000000000001,-2.108179701889373,-2.129566933856002
7.300000000000001,-2.024251303691309,-2.2742240965446063
7.600000000000001,-1.9437035054154288,-2.488752686936189
7.900000000000001,-1.866274481054048,0.09882549695135756
8.200000000000001,-1.791731691459585,-1.9372820875297063
8.5,-1.7198676730074585,-0.7450916073593521
8.8,-1.650496557031678,-3.1218319238583683
9.100000000000001,-1.5834511729543914,-0.08256986387794996
9.400000000000002,-1.5185806214480833,-2.0811511303904626
9.700000000000001,-1.4557482289813253,0.004044395791486632
10.000000000000002,-1.3948298140119082,-1.1775669869401244
10.3,-1.33571220952882,-2.5758896481586957
10.600000000000001,-1.278291997763957,-1.7634890054749919
10.900000000000002,-1.222474421529804,-0.7196376684339589
